rate_date,base_currency,quote_currency,fx_to_usd
1/10/2025,USD,USD,1
1/10/2025,USD,EUR,1.09
1/10/2025,USD,NOK,0.095
1/10/2025,USD,SGD,0.74
1/10/2025,USD,AED,0.272
1/10/2025,USD,GBP,1.27
1/10/2025,USD,CNY,0.14
1/10/2025,USD,MYR,0.21
2/10/2025,USD,USD,1
2/10/2025,USD,EUR,1.09
2/10/2025,USD,NOK,0.0951
2/10/2025,USD,SGD,0.7405
2/10/2025,USD,AED,0.2719
2/10/2025,USD,GBP,1.271
2/10/2025,USD,CNY,0.14
2/10/2025,USD,MYR,0.2099
3/10/2025,USD,USD,1
3/10/2025,USD,EUR,1.0901
3/10/2025,USD,NOK,0.095
3/10/2025,USD,SGD,0.7401
3/10/2025,USD,AED,0.272
3/10/2025,USD,GBP,1.2701
3/10/2025,USD,CNY,0.14
3/10/2025,USD,MYR,0.21
4/10/2025,USD,USD,1
4/10/2025,USD,EUR,1.0903
4/10/2025,USD,NOK,0.0951
4/10/2025,USD,SGD,0.7402
4/10/2025,USD,AED,0.2718
4/10/2025,USD,GBP,1.27
4/10/2025,USD,CNY,0.1401
4/10/2025,USD,MYR,0.2099
5/10/2025,USD,USD,1
5/10/2025,USD,EUR,1.0907
5/10/2025,USD,NOK,0.095
5/10/2025,USD,SGD,0.741
5/10/2025,USD,AED,0.2719
5/10/2025,USD,GBP,1.2706
5/10/2025,USD,CNY,0.1402
5/10/2025,USD,MYR,0.2101
6/10/2025,USD,USD,1
6/10/2025,USD,EUR,1.0911
6/10/2025,USD,NOK,0.095
6/10/2025,USD,SGD,0.7407
6/10/2025,USD,AED,0.2716
6/10/2025,USD,GBP,1.2694
6/10/2025,USD,CNY,0.1401
6/10/2025,USD,MYR,0.21
7/10/2025,USD,USD,1
7/10/2025,USD,EUR,1.0916
7/10/2025,USD,NOK,0.095
7/10/2025,USD,SGD,0.7411
7/10/2025,USD,AED,0.2716
7/10/2025,USD,GBP,1.2689
7/10/2025,USD,CNY,0.14
7/10/2025,USD,MYR,0.2102
8/10/2025,USD,USD,1
8/10/2025,USD,EUR,1.0923
8/10/2025,USD,NOK,0.095
8/10/2025,USD,SGD,0.7405
8/10/2025,USD,AED,0.2718
8/10/2025,USD,GBP,1.2691
8/10/2025,USD,CNY,0.1399
8/10/2025,USD,MYR,0.2101
9/10/2025,USD,USD,1
9/10/2025,USD,EUR,1.0931
9/10/2025,USD,NOK,0.0949
9/10/2025,USD,SGD,0.7405
9/10/2025,USD,AED,0.2717
9/10/2025,USD,GBP,1.2701
9/10/2025,USD,CNY,0.1399
9/10/2025,USD,MYR,0.2103
10/10/2025,USD,USD,1
10/10/2025,USD,EUR,1.0939
10/10/2025,USD,NOK,0.0949
10/10/2025,USD,SGD,0.7411
10/10/2025,USD,AED,0.2718
10/10/2025,USD,GBP,1.2692
10/10/2025,USD,CNY,0.1399
10/10/2025,USD,MYR,0.2103
11/10/2025,USD,USD,1
11/10/2025,USD,EUR,1.0949
11/10/2025,USD,NOK,0.0949
11/10/2025,USD,SGD,0.7407
11/10/2025,USD,AED,0.2716
11/10/2025,USD,GBP,1.2691
11/10/2025,USD,CNY,0.14
11/10/2025,USD,MYR,0.2105
12/10/2025,USD,USD,1
12/10/2025,USD,EUR,1.096
12/10/2025,USD,NOK,0.0949
12/10/2025,USD,SGD,0.741
12/10/2025,USD,AED,0.2717
12/10/2025,USD,GBP,1.2697
12/10/2025,USD,CNY,0.1401
12/10/2025,USD,MYR,0.2105
13/10/2025,USD,USD,1
13/10/2025,USD,EUR,1.0949
13/10/2025,USD,NOK,0.0948
13/10/2025,USD,SGD,0.7402
13/10/2025,USD,AED,0.2714
13/10/2025,USD,GBP,1.2685
13/10/2025,USD,CNY,0.14
13/10/2025,USD,MYR,0.2103
14/10/2025,USD,USD,1
14/10/2025,USD,EUR,1.0939
14/10/2025,USD,NOK,0.0948
14/10/2025,USD,SGD,0.7401
14/10/2025,USD,AED,0.2714
14/10/2025,USD,GBP,1.268
14/10/2025,USD,CNY,0.1399
14/10/2025,USD,MYR,0.2103
15/10/2025,USD,USD,1
15/10/2025,USD,EUR,1.0931
15/10/2025,USD,NOK,0.0949
15/10/2025,USD,SGD,0.7405
15/10/2025,USD,AED,0.2716
15/10/2025,USD,GBP,1.2682
15/10/2025,USD,CNY,0.1398
15/10/2025,USD,MYR,0.2101
16/10/2025,USD,USD,1
16/10/2025,USD,EUR,1.0923
16/10/2025,USD,NOK,0.0949
16/10/2025,USD,SGD,0.74
16/10/2025,USD,AED,0.2715
16/10/2025,USD,GBP,1.2692
16/10/2025,USD,CNY,0.1398
16/10/2025,USD,MYR,0.2102
17/10/2025,USD,USD,1
17/10/2025,USD,EUR,1.0916
17/10/2025,USD,NOK,0.0949
17/10/2025,USD,SGD,0.7401
17/10/2025,USD,AED,0.2716
17/10/2025,USD,GBP,1.2683
17/10/2025,USD,CNY,0.1398
17/10/2025,USD,MYR,0.21
18/10/2025,USD,USD,1
18/10/2025,USD,EUR,1.0911
18/10/2025,USD,NOK,0.0949
18/10/2025,USD,SGD,0.7407
18/10/2025,USD,AED,0.2715
18/10/2025,USD,GBP,1.2682
18/10/2025,USD,CNY,0.1399
18/10/2025,USD,MYR,0.2101
19/10/2025,USD,USD,1
19/10/2025,USD,EUR,1.0907
19/10/2025,USD,NOK,0.095
19/10/2025,USD,SGD,0.7404
19/10/2025,USD,AED,0.2715
19/10/2025,USD,GBP,1.2689
19/10/2025,USD,CNY,0.14
19/10/2025,USD,MYR,0.2099
20/10/2025,USD,USD,1
20/10/2025,USD,EUR,1.0903
20/10/2025,USD,NOK,0.095
20/10/2025,USD,SGD,0.7407
20/10/2025,USD,AED,0.2712
20/10/2025,USD,GBP,1.2676
20/10/2025,USD,CNY,0.1399
20/10/2025,USD,MYR,0.21
21/10/2025,USD,USD,1
21/10/2025,USD,EUR,1.0901
21/10/2025,USD,NOK,0.095
21/10/2025,USD,SGD,0.7401
21/10/2025,USD,AED,0.2712
21/10/2025,USD,GBP,1.2671
21/10/2025,USD,CNY,0.1398
21/10/2025,USD,MYR,0.2099
22/10/2025,USD,USD,1
