shipment_id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,order_amount_local,currency_code,prior_purchases,product_importance,discount_offered,weight_in_gms,reached_on_time_y_n,customer_id,shipment_date
1,D,Flight,4,2,177,CNY,3,low,44,1233,TRUE,CUST_0038,2/10/2025
2,F,Flight,4,5,216,EUR,2,low,59,3088,TRUE,CUST_0025,3/10/2025
3,A,Flight,2,2,183,SGD,4,low,48,3374,TRUE,CUST_0012,4/10/2025
4,B,Flight,3,3,176,EUR,4,medium,10,1177,TRUE,CUST_0215,5/10/2025
5,C,Flight,2,2,184,GBP,3,medium,46,2484,TRUE,CUST_0056,6/10/2025
6,F,Flight,3,1,162,USD,3,medium,12,1417,TRUE,CUST_0097,7/10/2025
7,D,Flight,3,4,250,CNY,3,low,3,2371,TRUE,CUST_0138,8/10/2025
8,F,Flight,4,1,233,EUR,2,low,48,2804,TRUE,CUST_0595,9/10/2025
9,A,Flight,3,4,150,CNY,3,low,11,1861,TRUE,CUST_0638,10/10/2025
10,B,Flight,3,2,164,NOK,3,medium,29,1187,TRUE,CUST_0021,11/10/2025
11,C,Flight,3,4,189,CNY,2,medium,12,2888,TRUE,CUST_0008,12/10/2025
12,F,Flight,4,5,232,EUR,3,medium,32,3253,TRUE,CUST_0045,13/10/2025
13,D,Flight,3,5,198,SGD,3,medium,1,3667,TRUE,CUST_0032,14/10/2025
14,F,Flight,4,4,275,EUR,3,high,29,2602,TRUE,CUST_0225,15/10/2025
15,A,Flight,4,3,152,GBP,3,low,43,1009,TRUE,CUST_0066,16/10/2025
16,B,Flight,4,3,227,USD,3,low,45,2707,TRUE,CUST_0107,17/10/2025
17,C,Flight,3,4,143,CNY,2,medium,6,1194,TRUE,CUST_0148,18/10/2025
18,F,Ship,5,5,227,EUR,3,medium,36,3952,TRUE,CUST_0525,19/10/2025
19,D,Ship,5,5,239,CNY,3,high,18,2495,TRUE,CUST_0568,20/10/2025
20,F,Ship,4,5,145,NOK,3,medium,45,1059,TRUE,CUST_0041,21/10/2025
21,A,Ship,3,3,161,CNY,2,medium,38,1521,TRUE,CUST_0028,22/10/2025
22,B,Ship,3,1,232,EUR,4,medium,51,2899,TRUE,CUST_0015,23/10/2025
23,C,Ship,2,5,156,SGD,2,low,2,1750,TRUE,CUST_0002,24/10/2025
24,F,Ship,4,3,211,EUR,3,high,12,3922,TRUE,CUST_0235,25/10/2025
25,D,Ship,4,5,251,GBP,2,medium,28,3561,TRUE,CUST_0076,26/10/2025
26,F,Ship,3,1,225,USD,4,low,29,3496,TRUE,CUST_0117,27/10/2025
27,A,Ship,4,1,172,CNY,3,high,24,1066,TRUE,CUST_0158,28/10/2025
28,B,Ship,5,1,162,EUR,3,medium,31,1435,TRUE,CUST_0455,29/10/2025
29,C,Ship,2,3,234,CNY,4,low,44,3134,TRUE,CUST_0498,30/10/2025
30,F,Ship,5,4,183,NOK,2,low,36,3819,TRUE,CUST_0011,31/10/2025
31,D,Ship,3,4,266,CNY,2,medium,38,2741,TRUE,CUST_0048,1/11/2025
32,F,Ship,5,3,257,EUR,2,low,61,3341,TRUE,CUST_0035,2/11/2025
33,A,Ship,3,1,223,SGD,3,low,22,3795,TRUE,CUST_0022,3/11/2025
34,B,Ship,4,2,234,EUR,3,medium,4,3261,TRUE,CUST_0245,4/11/2025
35,C,Ship,4,2,227,GBP,4,medium,22,2460,TRUE,CUST_0086,5/11/2025
36,F,Ship,5,4,149,USD,3,medium,44,1811,TRUE,CUST_0127,6/11/2025
37,D,Ship,3,5,137,CNY,4,high,62,1477,TRUE,CUST_0168,7/11/2025
38,F,Ship,2,4,181,EUR,6,medium,16,3605,TRUE,CUST_0385,8/11/2025
39,A,Ship,5,1,215,CNY,4,low,56,3905,TRUE,CUST_0428,9/11/2025
40,B,Ship,4,2,269,NOK,5,low,45,2383,TRUE,CUST_0031,10/11/2025
41,C,Ship,5,1,227,CNY,2,low,15,3798,TRUE,CUST_0018,11/11/2025
42,F,Ship,5,5,139,EUR,4,medium,61,1265,TRUE,CUST_0005,12/11/2025
43,D,Ship,3,5,137,SGD,2,medium,38,1647,TRUE,CUST_0042,13/11/2025
44,F,Ship,3,1,174,EUR,2,low,44,1556,TRUE,CUST_0055,14/11/2025
45,A,Ship,3,1,151,GBP,2,low,29,1328,TRUE,CUST_0096,15/11/2025
46,B,Ship,5,1,210,USD,3,low,9,2944,TRUE,CUST_0137,16/11/2025
47,C,Ship,3,4,169,CNY,4,medium,32,1245,TRUE,CUST_0178,17/11/2025
48,F,Ship,5,1,160,EUR,2,low,32,1576,TRUE,CUST_0315,18/11/2025
49,D,Ship,5,4,190,CNY,2,medium,9,3753,TRUE,CUST_0358,19/11/2025
50,F,Ship,5,3,216,NOK,3,low,40,2146,TRUE,CUST_0001,20/11/2025
51,A,Ship,4,1,183,CNY,3,low,37,2042,TRUE,CUST_0038,21/11/2025
52,B,Ship,4,4,141,EUR,3,low,22,1735,TRUE,CUST_0025,22/11/2025
53,C,Ship,4,3,165,SGD,3,low,44,1320,TRUE,CUST_0012,23/11/2025
54,F,Ship,2,1,170,EUR,3,low,41,1128,TRUE,CUST_0065,24/11/2025
55,D,Ship,4,3,203,GBP,3,high,12,3539,TRUE,CUST_0106,25/11/2025
56,F,Ship,2,5,246,USD,5,low,46,2437,TRUE,CUST_0147,26/11/2025
57,A,Ship,3,3,238,CNY,3,low,61,3096,TRUE,CUST_0188,27/11/2025
58,B,Ship,3,3,193,EUR,3,medium,29,3453,TRUE,CUST_0745,28/11/2025
59,C,Ship,5,5,141,CNY,3,high,41,1367,TRUE,CUST_0288,29/11/2025
60,F,Ship,4,1,150,NOK,3,high,17,1923,TRUE,CUST_0021,30/11/2025
61,D,Ship,3,1,221,CNY,3,low,64,2794,TRUE,CUST_0008,1/12/2025
62,F,Ship,3,3,179,EUR,3,medium,52,1158,TRUE,CUST_0045,2/12/2025
63,A,Ship,5,1,105,SGD,6,medium,62,1292,TRUE,CUST_0032,3/12/2025
64,B,Ship,3,1,177,EUR,3,medium,61,1880,TRUE,CUST_0075,4/12/2025
65,C,Ship,4,5,261,GBP,2,high,49,3045,TRUE,CUST_0116,5/12/2025
66,F,Ship,3,2,202,USD,3,low,49,2881,TRUE,CUST_0157,6/12/2025
67,D,Ship,3,2,109,CNY,3,medium,15,1710,TRUE,CUST_0198,7/12/2025
68,F,Ship,3,3,158,EUR,3,low,6,1878,TRUE,CUST_0675,8/12/2025
69,A,Ship,4,2,231,CNY,4,medium,6,2512,TRUE,CUST_0718,9/12/2025
70,B,Ship,3,5,206,NOK,3,medium,39,2929,TRUE,CUST_0041,10/12/2025
71,C,Ship,5,1,187,CNY,4,high,14,3849,TRUE,CUST_0028,11/12/2025
72,F,Ship,5,5,230,EUR,2,low,2,2229,TRUE,CUST_0015,12/12/2025
73,D,Ship,5,5,232,SGD,3,medium,33,2998,TRUE,CUST_0002,13/12/2025
74,F,Ship,4,5,215,EUR,3,medium,21,3984,TRUE,CUST_0085,14/12/2025
75,A,Ship,6,1,238,GBP,6,low,13,2442,TRUE,CUST_0126,15/12/2025
76,B,Ship,4,1,266,USD,3,low,23,3775,TRUE,CUST_0167,16/12/2025
77,C,Ship,2,3,158,CNY,2,medium,36,1788,TRUE,CUST_0208,17/12/2025
78,F,Ship,3,3,113,EUR,3,low,43,1518,TRUE,CUST_0605,18/12/2025
79,D,Ship,3,4,223,CNY,3,low,18,3959,TRUE,CUST_0648,19/12/2025
80,F,Ship,3,5,257,NOK,2,medium,56,3711,TRUE,CUST_0011,20/12/2025
81,A,Ship,3,4,180,CNY,2,medium,49,1942,TRUE,CUST_0048,21/12/2025
82,B,Ship,2,5,132,EUR,3,low,18,1759,TRUE,CUST_0035,22/12/2025
83,C,Ship,4,4,217,SGD,3,high,26,2875,TRUE,CUST_0022,23/12/2025
84,F,Ship,5,5,162,EUR,3,high,31,1364,TRUE,CUST_0095,24/12/2025
85,D,Ship,4,5,197,GBP,2,medium,40,2710,TRUE,CUST_0136,25/12/2025
86,F,Ship,3,4,197,USD,3,medium,13,2148,TRUE,CUST_0177,26/12/2025
87,A,Ship,4,1,185,CNY,2,low,44,2910,TRUE,CUST_0218,27/12/2025
88,B,Ship,6,2,278,EUR,3,medium,3,2974,TRUE,CUST_0535,28/12/2025
89,C,Ship,3,3,229,CNY,3,low,49,2339,TRUE,CUST_0578,29/12/2025
90,F,Ship,4,1,186,NOK,4,medium,57,3880,TRUE,CUST_0031,1/10/2025
91,D,Ship,5,3,174,CNY,6,high,41,1085,TRUE,CUST_0018,2/10/2025
92,F,Ship,5,5,286,EUR,3,low,18,3163,TRUE,CUST_0005,3/10/2025
93,A,Ship,4,4,175,SGD,2,medium,7,1188,TRUE,CUST_0042,4/10/2025
94,B,Ship,3,3,219,EUR,3,medium,17,3387,TRUE,CUST_0105,5/10/2025
95,C,Ship,4,1,213,GBP,4,high,35,2343,TRUE,CUST_0146,6/10/2025
96,F,Ship,2,3,235,USD,3,low,57,2034,TRUE,CUST_0187,7/10/2025
97,D,Ship,3,3,149,CNY,2,medium,18,1225,TRUE,CUST_0228,8/10/2025
98,F,Ship,4,1,271,EUR,2,medium,8,2401,TRUE,CUST_0465,9/10/2025
99,A,Ship,3,5,144,CNY,4,medium,5,1104,TRUE,CUST_0508,10/10/2025
100,B,Ship,4,2,145,NOK,2,medium,21,1617,TRUE,CUST_0001,11/10/2025
101,C,Ship,5,3,143,CNY,2,medium,59,1837,TRUE,CUST_0038,12/10/2025
102,F,Ship,5,5,227,EUR,4,low,53,2624,TRUE,CUST_0025,13/10/2025
103,D,Ship,2,1,213,SGD,3,low,29,2732,TRUE,CUST_0012,14/10/2025
104,F,Ship,5,1,144,EUR,4,low,37,1658,TRUE,CUST_0115,15/10/2025
105,A,Ship,3,3,218,GBP,3,low,3,2255,TRUE,CUST_0156,16/10/2025
106,B,Ship,4,2,144,USD,3,medium,59,1588,TRUE,CUST_0197,17/10/2025
107,C,Ship,3,1,238,CNY,3,low,17,2624,TRUE,CUST_0238,18/10/2025
108,F,Ship,4,5,216,EUR,3,high,26,2053,TRUE,CUST_0395,19/10/2025
109,D,Ship,4,5,238,CNY,3,high,55,3257,TRUE,CUST_0438,20/10/2025
110,F,Ship,4,1,141,NOK,3,medium,47,1250,TRUE,CUST_0021,21/10/2025
111,A,Road,3,1,158,CNY,2,low,2,1284,TRUE,CUST_0008,22/10/2025
112,B,Road,4,2,239,EUR,3,low,65,3679,TRUE,CUST_0045,23/10/2025
113,C,Road,4,3,175,SGD,2,low,25,1816,TRUE,CUST_0032,24/10/2025
114,F,Road,3,2,263,EUR,3,low,41,2817,TRUE,CUST_0125,25/10/2025
115,D,Road,3,5,168,GBP,2,high,50,1616,TRUE,CUST_0166,26/10/2025
116,F,Road,3,4,176,USD,3,high,36,1779,TRUE,CUST_0207,27/10/2025
117,A,Road,4,1,150,CNY,4,high,60,1024,TRUE,CUST_0248,28/10/2025
118,B,Road,4,3,265,EUR,2,medium,31,2326,TRUE,CUST_0325,29/10/2025
119,C,Road,2,5,263,CNY,3,low,5,2947,TRUE,CUST_0368,30/10/2025
120,F,Road,5,1,145,NOK,3,low,20,1387,TRUE,CUST_0041,31/10/2025
121,D,Road,4,2,183,CNY,3,low,33,2741,TRUE,CUST_0028,1/11/2025
122,F,Road,3,3,205,EUR,3,medium,19,2167,TRUE,CUST_0015,2/11/2025
123,A,Road,4,2,160,SGD,3,low,64,1714,TRUE,CUST_0002,3/11/2025
124,B,Road,3,3,252,EUR,2,medium,48,2102,TRUE,CUST_0135,4/11/2025
125,C,Road,5,5,222,GBP,3,low,10,2280,TRUE,CUST_0176,5/11/2025
126,F,Road,3,3,203,USD,2,low,25,3607,TRUE,CUST_0217,6/11/2025
127,D,Road,4,5,220,CNY,3,medium,40,3516,TRUE,CUST_0058,7/11/2025
128,F,Road,3,3,147,EUR,4,low,60,1722,TRUE,CUST_0255,8/11/2025
